Title,Link,Image,Author,Date,Description,Fake News
Deepfake Video Of S Jaishankar Promoting Dubious Investment Platform Goes Viral,https://newschecker.in/ai-deepfake/deepfake-video-of-s-jaishankar-promoting-dubious-investment-platform-goes-viral,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-26.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 26, 2025","Viral video found to be a deepfake, platform found to be untrustworthy.",TRUE
AI Generated Photos Of Kareena Kapoor And Sonakshi Sinha In Hijab Shared As Real,https://newschecker.in/ai-deepfake/ai-generated-photos-of-kareena-kapoor-and-sonakshi-sinha-in-hijab-shared-as-real,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-26T124922.939.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 26, 2025","A set of two photographs allegedly showing Bollywood actors Kareena Kapoor and Sonakshi Sinha in Hijab has surfaced on social media platforms. Newschecker, h...",FALSE
"Do These Photos Show KL Rahul & Athiya Shetty With Newborn Daughter? No, Viral Images Are AI-Generated",https://newschecker.in/ai-deepfake/do-these-photos-show-kl-rahul-athiya-shetty-with-newborn-daughter-no-viral-images-are-ai-generated,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-1-3.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 26, 2025",Photos of star Indian cricketer KL Rahul and actor Athiya Shetty with their baby girl at the hospital.,FALSE
Viral Video Does Not Show Blast At Pakistan Army Headquarters,https://newschecker.in/fact-check/viral-video-does-not-show-blast-at-pakistan-army-headquarters,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-25T152043.215.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 25, 2025","Several social media user shared a video claiming to show a massive blast at Pakistan army headquarters. Newschecker, however, found the claim to be untrue...",FALSE
IPL 2025: Viral Photo Of CSK Fan Holding Placard Abusing Aurangzeb Is Altered,https://newschecker.in/fact-check/ipl-2025-viral-photo-of-csk-fan-holding-placard-abusing-aurangzeb-is-altered,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-25T143235.113.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 25, 2025","Several social media users posted a photo claiming to show a CSK fan holding placard abusing Aurangzeb. Newschecker, however, found that the photo was edited...",FALSE
Viral Photo Claiming To Show Annamalai Holding ‘Go Back Grok’ Placard Is Edited,https://newschecker.in/fact-check/viral-photo-claiming-to-show-annamalai-holding-go-back-grok-placard-is-edited,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-25T133217.745.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 25, 2025","Several social media users shared a photo claiming to show Tamil BJP Chief Annamalai holding ‘Go Back Grok’ placard amid X-Centre row. Newschecker, however...",FALSE
AI-Edited Photo Of Gaza Woman Hugging Skeletal Remains Of Son Shared As Real,https://newschecker.in/fact-check/ai-edited-photo-of-gaza-woman-hugging-skeletal-remains-of-son-shared-as-real,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-25.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 25, 2025","A woman in Gaza hugging the remains of her son found amidst the rubble of her home devastated by an Israeli attack, after a year-long search.",FALSE
Fact Check: Woman Dancing in Viral Video Is Not Meerut Murder Accused Muskan Rastogi,https://newschecker.in/fact-check/viral-dance-video-does-not-feature-meerut-murder-accused-muskan-rastogi,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-24T162553.249.jpg?quality=71&format=webp&w=1920,Runjay Kumar,"March 24, 2025","Several social media users shared a video allegedly showing Meerut murder accused Muskan Rastogi performing an obscene dance. Newschecker, however, found the...",FALSE
2013 Video Of Sunita Williams Speaking About Bhagwad Gita Shared As Press Conference After Return From Space,https://newschecker.in/fact-check/2013-video-of-sunita-williams-speaking-about-bhagwad-gita-upanishads-shared-as-her-press-conference-after-return-from-space,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-24.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 24, 2025",Indian-origin NASA astronaut Sunita Williams at a press conference credits the Bhagwad Gita and the Upanishads for her safe return from her 9-month mission in,FALSE
"Weekly Wrap: Misinformation On Sunita Williams, Nagpur Violence & More",https://newschecker.in/fact-check/weekly-wrap-misinformation-on-sunita-williams-nagpur-violence-more,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-22T143750.958.jpg?quality=71&format=webp&w=1920,Newschecker Team,"March 22, 2025",From an unrelated video being shared to show NASA astronaut Sunita Williams celebrating after safely returning to Earth on March 19 to misinformation around...,FALSE
Deepfake Video Of Anant Ambani Promoting Gaming App Goes Viral,https://newschecker.in/ai-deepfake/deepfake-video-of-anant-ambani-promoting-gaming-app-goes-viral,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-21T162115.381.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 21, 2025","A video allegedly showing Anant Ambani promoting gaming app called 'Avi by Ambani' has surfaced on social media. Newschecker, however, found that the video...",TRUE
Are These ‘Kumbh From Space’ Photos Taken By Sunita Williams? Here’s A Fact-Check,https://newschecker.in/fact-check/are-these-kumbh-from-space-photos-taken-by-sunita-williams-heres-a-fact-check,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-23.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 21, 2025",“NASA astronaut Sunita Williams' sister-in-law Falguni Pandya said she was shown a photo of the Mahakumbh from the International Space Station (ISS). In an,FALSE
Viral Photo Does Not Show ‘Fresh-Faced’ Sunita Williams and Butch Wilmore After Their Return To Earth,https://newschecker.in/fact-check/viral-photo-does-not-show-fresh-faced-sunita-williams-and-butch-wilmore-after-their-return-to-earth,https://newschecker.dietpixels.net/2025/03/Rating-2025-03-21T134101.203.jpg?quality=71&format=webp&w=1920,Vasudha Beri,"March 21, 2025",Several social media users shared a photograph alleging to show NASA astronauts Sunita Williams and Butch Wilmore “fresh-faced and smiling” while exiting the...,FALSE
Viral Photo Claiming To Show Canadian PM & Tom Hanks On Epstein Island Is AI-Generated,https://newschecker.in/ai-deepfake/viral-photo-claiming-to-show-canadian-pm-tom-hanks-on-epstein-island-is-ai-generated,https://newschecker.dietpixels.net/2025/03/Kushel-One-Rating-Article-Thumbnails-New-Brand-22.jpg?quality=71&format=webp&w=1920,Kushel Madhusoodan,"March 20, 2025","Canadian PM Mark Carney photographed with Ghislaine Maxwell, convicted of aiding sex offender Jeffrey Epstein, and actor Tom Hanks, on the infamous Epstein",FALSE
